City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2021-04-08 00:30:03,42.6001,-73.9662,59.0,55,20,6.91
1,Aranos,NA,2021-04-08 00:39:26,-24.1333,19.1167,68.11,53,0,9.06
2,Puerto Ayora,EC,2021-04-08 00:39:26,-0.7393,-90.3518,77.0,92,16,1.01
3,Rizhao,CN,2021-04-08 00:39:27,35.4275,119.4553,55.22,47,0,7.18
4,Hay River,CA,2021-04-08 00:35:37,60.8156,-115.7999,21.2,93,100,13.8
5,Qixingtai,CN,2021-04-08 00:39:27,30.4135,111.8874,55.99,84,100,7.61
6,Vaini,TO,2021-04-08 00:39:27,-21.2,-175.2,80.6,74,20,9.22
7,Mataura,NZ,2021-04-08 00:39:28,-46.1927,168.8643,63.0,66,11,5.01
8,Cape Town,ZA,2021-04-08 00:33:56,-33.9258,18.4232,63.0,94,0,11.5
9,Sur,OM,2021-04-08 00:39:28,22.5667,59.5289,78.48,38,0,3.69
10,Vila Velha,BR,2021-04-08 00:31:52,-20.3297,-40.2925,75.0,94,75,6.91
11,Grajau,BR,2021-04-08 00:39:29,-5.8194,-46.1386,76.57,75,100,3.06
12,Plettenberg Bay,ZA,2021-04-08 00:39:29,-34.0527,23.3716,61.3,90,6,1.66
13,Teguldet,RU,2021-04-08 00:39:29,57.3064,88.1667,32.47,97,100,4.99
14,Kapaa,US,2021-04-08 00:33:42,22.0752,-159.319,73.4,73,90,21.85
15,Muyezerskiy,RU,2021-04-08 00:39:30,63.9333,31.65,26.92,96,100,2.1
16,Derazhnya,UA,2021-04-08 00:39:30,49.2692,27.4338,30.29,79,11,9.6
17,Yellowknife,CA,2021-04-08 00:39:30,62.456,-114.3525,19.4,79,90,10.36
18,Timra,SE,2021-04-08 00:39:31,62.487,17.3257,28.0,80,0,6.91
19,Fortuna,US,2021-04-08 00:30:52,40.5982,-124.1573,53.01,71,90,11.5
20,Darnah,LY,2021-04-08 00:39:31,32.767,22.6367,59.13,51,100,3.38
21,Kodiak,US,2021-04-08 00:31:20,57.79,-152.4072,37.4,70,90,10.36
22,Carutapera,BR,2021-04-08 00:34:48,-1.195,-46.02,77.61,88,93,5.32
23,Laguna,US,2021-04-08 00:33:39,38.421,-121.4238,69.8,32,40,18.41
24,Saldanha,ZA,2021-04-08 00:31:20,-33.0117,17.9442,59.0,88,4,4.61
25,Hilo,US,2021-04-08 00:33:17,19.7297,-155.09,78.8,47,40,12.66
26,Hobart,AU,2021-04-08 00:36:38,-42.8794,147.3294,69.01,55,0,8.05
27,Bluff,NZ,2021-04-08 00:33:32,-46.6,168.3333,63.0,66,17,5.01
28,Colares,PT,2021-04-08 00:39:32,38.7992,-9.4469,55.99,80,4,2.44
29,Uruacu,BR,2021-04-08 00:39:33,-14.5247,-49.1408,69.78,91,42,3.74
30,Georgetown,MY,2021-04-08 00:34:36,5.4112,100.3354,80.01,94,20,2.3
31,Constitucion,CL,2021-04-08 00:39:33,-35.3333,-72.4167,55.58,83,63,8.03
32,Nakhon Phanom,TH,2021-04-08 00:39:33,17.3333,104.4167,77.0,88,75,3.44
33,Cabo San Lucas,MX,2021-04-08 00:34:37,22.8909,-109.9124,82.4,36,40,10.36
34,Tokur,RU,2021-04-08 00:39:34,53.1333,132.9,20.43,81,98,6.67
35,Humaita,BR,2021-04-08 00:39:34,-7.5061,-63.0208,74.86,96,92,1.88
36,Pisco,PE,2021-04-08 00:33:53,-13.7,-76.2167,71.01,78,0,19.57
37,Ranfurly,NZ,2021-04-08 00:39:35,-45.1333,170.1,62.01,58,0,1.01
38,Napasar,IN,2021-04-08 00:39:35,27.9667,73.55,71.46,24,0,9.6
39,Port Lincoln,AU,2021-04-08 00:32:16,-34.7333,135.8667,79.86,31,100,13.62
40,Krasnyy Yar,RU,2021-04-08 00:39:36,46.5331,48.3456,44.6,76,0,8.95
41,Bambous Virieux,MU,2021-04-08 00:33:44,-20.3428,57.7575,80.01,88,75,12.66
42,San Andres,CO,2021-04-08 00:39:36,12.5847,-81.7006,82.4,78,75,11.5
43,Ushuaia,AR,2021-04-08 00:31:27,-54.8,-68.3,46.4,87,40,3.71
44,Hithadhoo,MV,2021-04-08 00:33:31,-0.6,73.0833,82.89,66,57,10.87
45,Saint-Georges,GD,2021-04-08 00:35:34,12.0564,-61.7485,78.8,89,75,6.91
46,Kesinga,IN,2021-04-08 00:39:37,20.2,83.2333,79.88,58,0,4.12
47,East London,ZA,2021-04-08 00:33:46,-33.0153,27.9116,65.59,78,9,9.93
48,Dikson,RU,2021-04-08 00:32:21,73.5069,80.5464,8.82,80,100,5.08
49,Busselton,AU,2021-04-08 00:31:14,-33.65,115.3333,62.01,83,33,1.99
50,Vilhena,BR,2021-04-08 00:39:37,-12.7406,-60.1458,73.4,100,0,3.44
51,Millau,FR,2021-04-08 00:39:38,44.0833,2.9167,33.8,47,0,4.61
52,Barrow,US,2021-04-08 00:34:39,71.2906,-156.7887,-18.4,63,90,11.5
53,Kodinsk,RU,2021-04-08 00:39:38,58.6881,99.1844,33.4,86,100,4.23
54,Rikitea,PF,2021-04-08 00:33:38,-23.1203,-134.9692,77.25,60,0,7.65
55,Lulea,SE,2021-04-08 00:39:38,65.5842,22.1547,26.6,80,44,9.22
56,Pevek,RU,2021-04-08 00:31:18,69.7008,170.3133,-13.38,93,79,4.47
