City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Poum,NC,-20.2333,164.0167,76.23,91,100,10.63,light rain
1,Thompson,CA,55.7435,-97.8558,53.6,30,20,8.05,few clouds
2,Ilulissat,GL,69.2167,-51.1,33.8,86,90,10.36,snow
3,Dikson,RU,73.5069,80.5464,1.83,77,52,12.17,broken clouds
4,Berdigestyakh,RU,62.0989,126.6992,33.01,99,100,5.84,light snow
5,Hurghada,EG,27.2574,33.8129,73.4,38,0,13.8,clear sky
6,Kaitangata,NZ,-46.2817,169.8464,61.0,82,0,3.0,clear sky
7,Punta Arenas,CL,-53.15,-70.9167,46.4,71,0,14.97,clear sky
8,Nome,US,64.5011,-165.4064,0.0,60,1,9.22,clear sky
9,Mataura,NZ,-46.1927,168.8643,63.0,44,0,2.1,clear sky
10,Hobart,AU,-42.8794,147.3294,57.0,50,75,11.5,broken clouds
11,Port Elizabeth,ZA,-33.918,25.5701,60.8,94,90,10.36,mist
12,Puerto Ayora,EC,-0.7393,-90.3518,79.0,91,72,8.01,broken clouds
13,Yar-Sale,RU,66.8333,70.8333,31.01,86,100,12.75,overcast clouds
14,Vaini,TO,-21.2,-175.2,78.8,78,20,8.05,light rain
15,Ushuaia,AR,-54.8,-68.3,42.8,61,20,26.46,few clouds
16,Biltine,TD,14.5333,20.9167,83.64,5,24,13.49,few clouds
17,Batuan,PH,9.7808,124.1484,77.0,88,90,4.61,overcast clouds
18,Rikitea,PF,-23.1203,-134.9692,76.82,62,14,2.01,few clouds
19,Bluff,NZ,-46.6,168.3333,54.9,67,4,5.1,clear sky
20,Nikolskoye,RU,59.7035,30.7861,34.0,74,0,8.95,clear sky
21,Leningradskiy,RU,69.3833,178.4167,-4.34,84,19,1.86,few clouds
22,Bredasdorp,ZA,-34.5322,20.0403,59.0,94,7,3.44,clear sky
23,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.43,75,18,10.89,few clouds
24,Barrow,US,71.2906,-156.7887,-14.8,70,1,8.05,clear sky
25,Hilo,US,19.7297,-155.09,77.0,53,90,11.5,overcast clouds
26,Provideniya,RU,64.3833,-173.3,5.0,72,20,4.47,few clouds
27,Ariogala,LT,55.2667,23.4667,35.6,75,40,10.36,scattered clouds
28,Banda Aceh,ID,5.5577,95.3222,79.11,79,63,2.13,broken clouds
29,Kodiak,US,57.79,-152.4072,30.2,37,1,39.12,clear sky
30,Chokurdakh,RU,70.6333,147.9167,-1.08,85,99,7.16,overcast clouds
31,Alofi,NU,-19.0595,-169.9187,82.4,65,40,8.05,scattered clouds
32,Hermanus,ZA,-34.4187,19.2345,60.01,86,10,3.83,clear sky
33,Ribeira Grande,PT,38.5167,-28.7,60.06,82,14,13.56,few clouds
34,Alsfeld,DE,50.75,9.2667,35.01,68,79,8.99,broken clouds
35,Iqaluit,CA,63.7506,-68.5145,23.0,86,75,17.27,light snow
36,Avarua,CK,-21.2078,-159.775,82.4,78,75,6.91,broken clouds
37,Saldanha,ZA,-33.0117,17.9442,59.0,88,82,4.61,broken clouds
38,Takoradi,GH,4.8845,-1.7554,80.29,86,93,5.48,light rain
39,Cherskiy,RU,68.75,161.3,11.55,71,67,6.02,broken clouds
40,Coromandel,BR,-18.4733,-47.2003,63.21,77,96,6.44,overcast clouds
41,Busselton,AU,-33.65,115.3333,58.68,64,0,15.82,clear sky
42,Esperance,AU,-33.8667,121.9,59.0,100,90,8.05,overcast clouds
43,Yellowknife,CA,62.456,-114.3525,15.01,62,20,11.5,few clouds
44,Tres Arroyos,AR,-38.3739,-60.2798,61.2,96,82,5.28,broken clouds
45,Chihuahua,MX,28.5,-106.0,89.6,6,1,3.44,clear sky
46,Victoria,HK,22.2855,114.1577,70.0,86,100,1.99,overcast clouds
47,Galesong,ID,-5.3166,119.3661,73.4,94,20,5.75,few clouds
48,Arraial Do Cabo,BR,-22.9661,-42.0278,76.05,70,48,18.16,scattered clouds
49,Saint-Philippe,RE,-21.3585,55.7679,77.0,73,0,5.75,clear sky
50,Hamilton,US,39.1834,-84.5333,68.0,68,75,6.91,broken clouds
51,Sakakah,SA,29.9697,40.2064,73.4,14,0,12.66,clear sky
52,Vao,NC,-22.6667,167.4833,77.7,81,91,22.82,light rain
53,Liverpool,GB,53.4106,-2.9779,50.0,76,75,11.5,broken clouds
54,Nhulunbuy,AU,-12.2333,136.7667,84.2,70,40,1.14,scattered clouds
55,Tasiilaq,GL,65.6145,-37.6368,15.8,79,45,6.91,scattered clouds
56,Jamestown,US,42.097,-79.2353,73.4,33,1,10.36,clear sky
57,Qaanaaq,GL,77.484,-69.3632,9.34,72,100,3.69,overcast clouds
58,Tuatapere,NZ,-46.1333,167.6833,60.85,53,2,3.38,clear sky
59,Nanortalik,GL,60.1432,-45.2371,35.83,78,98,11.12,overcast clouds
60,Dubbo,AU,-32.25,148.6167,71.6,68,42,8.05,scattered clouds
61,East London,ZA,-33.0153,27.9116,65.66,82,40,3.0,scattered clouds
62,Katobu,ID,-4.9408,122.5276,79.3,86,97,1.28,overcast clouds
63,Hirado,JP,33.3597,129.5531,61.0,82,0,1.14,clear sky
64,Butaritari,KI,3.0707,172.7902,81.64,80,72,14.76,light rain
65,Morros,BR,-9.4467,-46.3003,77.23,60,58,3.83,broken clouds
66,Hithadhoo,MV,-0.6,73.0833,82.72,66,19,12.26,few clouds
67,Dawlatabad,AF,36.4141,64.9053,59.31,42,93,4.76,overcast clouds
68,Ponta Do Sol,PT,32.6667,-17.1,60.01,76,97,1.99,overcast clouds
69,La Ronge,CA,55.1001,-105.2842,35.6,87,100,10.36,overcast clouds
70,Shache,CN,38.4167,77.2406,47.52,58,91,3.89,overcast clouds
71,Tiksi,RU,71.6872,128.8694,-9.15,100,100,7.38,overcast clouds
72,Cuenca,EC,-2.8833,-78.9833,62.6,67,75,9.22,broken clouds
73,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,70,20,8.05,few clouds
74,Turayf,SA,31.6725,38.6637,64.4,45,0,13.8,clear sky
75,Bethel,US,41.3712,-73.414,64.4,45,1,14.97,clear sky
76,Choix,MX,26.7092,-108.3219,97.92,9,0,13.44,clear sky
77,Mastic Beach,US,40.7668,-72.8521,53.01,100,9,1.99,clear sky
78,College,US,64.8569,-147.8028,12.2,57,75,17.27,light snow
